Árvore de Busca em Largura a partir do vértice 1000
vértice 645: pai = -1, nível = -1
vértice 646: pai = 32072, nível = 10
vértice 647: pai = 646, nível = 11
vértice 648: pai = 2945, nível = 10
vértice 649: pai = 37314, nível = 11
vértice 650: pai = 649, nível = 12
vértice 651: pai = 649, nível = 12
vértice 652: pai = -1, nível = -1
vértice 653: pai = -1, nível = -1
vértice 654: pai = -1, nível = -1
vértice 655: pai = 70738, nível = 7
vértice 656: pai = 5241, nível = 13
vértice 657: pai = -1, nível = -1
vértice 658: pai = -1, nível = -1
vértice 659: pai = -1, nível = -1
vértice 660: pai = 661, nível = 11
vértice 661: pai = 20852, nível = 10
vértice 662: pai = 661, nível = 11
vértice 663: pai = 664, nível = 12
vértice 664: pai = 10712, nível = 11
vértice 665: pai = 23010, nível = 11
vértice 666: pai = 665, nível = 12
vértice 667: pai = 20604, nível = 11
vértice 668: pai = -1, nível = -1
vértice 669: pai = -1, nível = -1
vértice 670: pai = -1, nível = -1
vértice 671: pai = 9671, nível = 9
vértice 672: pai = 14006, nível = 9
vértice 673: pai = 674, nível = 9
vértice 674: pai = 3050, nível = 8
vértice 675: pai = 4626, nível = 8
vértice 676: pai = -1, nível = -1
vértice 677: pai = -1, nível = -1
vértice 678: pai = -1, nível = -1
vértice 679: pai = -1, nível = -1
vértice 680: pai = -1, nível = -1
vértice 681: pai = -1, nível = -1
vértice 682: pai = -1, nível = -1
vértice 683: pai = 15546, nível = 10
vértice 684: pai = 687, nível = 12
vértice 685: pai = 687, nível = 12
vértice 686: pai = 687, nível = 12
vértice 687: pai = 58217, nível = 11
vértice 688: pai = 687, nível = 12
vértice 689: pai = 687, nível = 12
vértice 690: pai = -1, nível = -1
vértice 691: pai = -1, nível = -1
vértice 692: pai = -1, nível = -1
vértice 693: pai = -1, nível = -1
vértice 694: pai = -1, nível = -1
vértice 695: pai = -1, nível = -1
vértice 696: pai = -1, nível = -1
vértice 697: pai = -1, nível = -1
vértice 698: pai = -1, nível = -1
vértice 699: pai = -1, nível = -1
vértice 700: pai = -1, nível = -1
vértice 701: pai = -1, nível = -1
vértice 702: pai = -1, nível = -1
vértice 703: pai = -1, nível = -1
vértice 704: pai = 31285, nível = 11
vértice 705: pai = 704, nível = 12
vértice 706: pai = -1, nível = -1
vértice 707: pai = -1, nível = -1
vértice 708: pai = -1, nível = -1
vértice 709: pai = -1, nível = -1
vértice 710: pai = 4157, nível = 9
vértice 711: pai = 710, nível = 10
vértice 712: pai = 35257, nível = 8
vértice 713: pai = 712, nível = 9
vértice 714: pai = 712, nível = 9
vértice 715: pai = 712, nível = 9
vértice 716: pai = 712, nível = 9
vértice 717: pai = 712, nível = 9
vértice 718: pai = -1, nível = -1
vértice 719: pai = 722, nível = 12
vértice 720: pai = 722, nível = 12
vértice 721: pai = 722, nível = 12
vértice 722: pai = 12531, nível = 11
vértice 723: pai = 740, nível = 9
